oid,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
19,Hongsing Marla,Kubicka,1993,Barcelona,Goalkeeper,Montpellier HSC,Recife,Stade Velodrome,2013,Bernando Jesus
20,Catherina Loan,Kolvik,1980,Killeen,Defender,Forest Green Rovers F.C.,Solna,Allianz Arena Olympic Stadium Munich,2012,Srikanth Chimia
21,Yuka Prakash,Hopewell,1991,Tallahassee,Forward,Boavista F.C.,Hamburg,Estadio da Luz,2015,Duckyoung Padhye
22,Surapol Yechezkel,Noltemeier,1984,Reno,Midfield,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Vagan Smallwood
23,Gang Vivekananda,Hofstetter,1983,Mobile,Midfield,FC Midtjylland,Houston,Stade Louis II,2011,Mattan Edelhoff
24,Antonius Ard,Rikino,1975,Prague,Defender,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
25,Gang Vivekananda,Hofstetter,1983,Mobile,Midfield,ACF Fiorentina,Hamburg,King Power Stadium,2014,Aiqun Levergood
26,Mazin Emeka,Milicia,1989,New,Midfield,West Ham United F.C.,Solna,Balaidos,2011,Jiangling Micheaux
27,Jinsei Ranjeev,Blix,1983,Cozumel,Midfield,Wolverhampton Wanderers Football Club,Dortmund,Stadio San Paolo,2013,Sigenobu Bodagala
28,Elie Mart,Otillio,1982,Zihuatenejo,Defender,FC Bayern Munich,Seattle,San Siro Stadium,2015,Atsufumi Comparetto
29,Tatuo Bongki,Scofield,1992,Birmingham,Forward,S.C. Braga,Gelsenkirchen,Sporting Park,2013,Shyamala Gibbs
30,Matthey Toshihisa,Bowhill,1983,Colorado,Midfield,ACF Fiorentina,Hamburg,King Power Stadium,2013,Amandio Klosowski
31,Abdalla Susannne,Hoare,1982,Gulfport,Midfield,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Veit Luks
32,Jacob Efthimis,Guoxing,1986,Appleton,Forward,A.C. Perugia Calcio,Solna,Donbass Arena,2014,Nabih Rios
33,Osmar Norton,Gove,1975,Paris,Defender,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2011,Xiaolei Ronchette
34,Daisy Ryotaro,Felciano,1976,Milan,Midfield,Royal Antwerp F.C.,London,Santiago Bernabeu Stadium,2011,Rashi Papadourakis
35,Sangjin Martin,Sezan,1985,Lisbon,Defender,FC Spartak Moscow,Rio de Janeiro,Stadio Olimpico,2012,Olavi Gurd
36,Peteris Yusuf,Maxson,1989,Tokyo,Midfield,ACF Fiorentina,Hamburg,Estadio da Luz,2012,Atsuyuki Jayaprakash
37,Sahrah Kimon,Muluszynski,1991,Gainesville,Goalkeeper,Wolverhampton Wanderers Football Club,Glasgow,Emirates Stadium,2013,Sigenobu Bodagala
38,Mehryar Judi,Favre,1995,Amarillo,Midfield,VfL Wolfsburg,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsufumi Comparetto
39,Yadran Mechthild,Rayne,1983,South,Defender,New York Red Bulls,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsuyuki Jayaprakash
40,Salim Uday,Buttyan,1986,Beaumont,Goalkeeper,Valencia CF,Stuttgart,Camp Nou,2011,Veit Luks
41,Ayal Waeil,Haining,1981,Wichita,Goalkeeper,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
42,Shunge Wop,Latch,1982,Guatemala,Forward,ACF Fiorentina,Hamburg,King Power Stadium,2014,Aiqun Levergood
43,Ezio Roslyn,Grems,1987,Toronto,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
44,Fortune Orestes,Waack,1989,Cape,Forward,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
45,Takenobu Leighton,Derby,1989,Savannah,Defender,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
46,Boijdar Michal,Yntema,1982,Beaumont,Midfield,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2013,Jeremy Cantu
47,Dongmyun Samuel,Corvi,1991,Portland,Forward,Juventus,Salvador,BMO Field,2012,IlYoung Giese
48,Catuscia Ivo,Miles,1984,Guaymas,Defender,The New Saints F.C.,Arlington,Parc des Princes,2012,Mayan Tautenhahn
49,Guoren Igino,Hudelmaier,1979,Santiago,Defender,Seattle Sounders,Dortmund,Stadio San Paolo,2013,Nabih Rios
50,Geraud Pat,Sherratt,1976,Wilkes,Midfield,Boavista F.C.,Naples,Veltins-Arena,2014,Torsten Fedou
51,Sanjaya Raed,Zabele,1996,Twin,Goalkeeper,FC Anzhi Makhachkala,Tokyo,BMO Field,2013,Robert Lally
52,Magne Chihping,Jungst,1990,Durban,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
53,Steinar Sathis,Brugnano,1987,Tokyo,Goalkeeper,S.C. Braga,Gelsenkirchen,Sporting Park,2011,Anupam Oxenboll
54,Yookun Apostol,Benn,1984,Los,Midfield,Aalborg Boldspilklub,London,Anfield,2014,Rosangela Ketz
55,Yasubumi Friedemann,Nobauer,1984,Louisville,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
56,Devina Qutaibah,Schloegel,1997,Charleston,Goalkeeper,Royal Antwerp F.C.,London,Santiago Bernabeu Stadium,2011,Rashi Papadourakis
57,Petko Maogang,Usha,1986,Nice,Defender,FC Kaiserslautern,Munich,Stadio Olimpico,2012,Atsufumi Comparetto
58,Alison Pierdaniele,Knauff,1992,Mobile,Defender,FC Spartak Moscow,Istanbul,Jan Breydel Stadium,2011,Yki Villano
59,Laird Capers,Aigrain,1990,Vail,Defender,FC Anzhi Makhachkala,Tokyo,BMO Field,2013,Robert Lally
60,Wonhee Chrysantos,Cremilleux,1981,Melbourne,Defender,New York Red Bulls,Brasilia,San Siro Stadium,2011,Atsuyuki Jayaprakash
61,Krishnaprasad Hiu,Llewellyn,1984,Nassau,Midfield,FC Dinamo Bucuresti,Hamburg,Amsterdam Arena,2013,Mattan Edelhoff
62,Theordore Zhaoqian,Devroye,1991,Lexington,Defender,Forest Green Rovers F.C.,Solna,Allianz Arena Olympic Stadium Munich,2014,Bon Kruiskamp
63,Chase Jed,Pascual,1984,Caracas,Midfield,VfL Wolfsburg,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsufumi Comparetto
64,Zhili Vinay,Molzberger,1981,Florence,Goalkeeper,Boavista F.C.,Naples,Veltins-Arena,2013,Srikanth Chimia
65,Bhuwan Percy,Bouabdallah,1984,Guangzhou,Forward,Boavista F.C.,Naples,Veltins-Arena,2015,Duckyoung Padhye
66,Huajun Haijo,Zajak,1982,Conakry,Midfield,The New Saints F.C.,Arlington,Parc des Princes,2014,Robbert Flach
67,Jim Jaak,Tchernykh,1990,Toulouse,Midfield,Juventus,Salvador,BMO Field,2012,IlYoung Giese
68,Judy Brant,Prenel,1978,Worcester,Midfield,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
69,Mahmut Vyjayanti,Dedood,1984,Mobile,Goalkeeper,FK Partizan,Orlando,White Hart Lane,2012,Ravindra Grnarov
70,Gesine Tilmann,Cagman,1996,Corpus,Midfield,Wolverhampton Wanderers Football Club,Glasgow,Emirates Stadium,2013,Sigenobu Bodagala
71,Gongzhu Youngmok,Kubicar,1979,Warsaw,Midfield,Delfino Pescara 1936,Orlando,King Power Stadium,2012,Robbert Flach
72,Gina Kenta,Besancenot,1976,Mobile,Defender,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2013,Jeremy Cantu
73,Gesine Tilmann,Cagman,1996,Corpus,Defender,VfL Wolfsburg,Berlin,Westfalenstadion,2011,Atsufumi Comparetto
74,Huu Shian,Abraham,1988,Albuquerque,Midfield,Boavista F.C.,Naples,Veltins-Arena,2014,Piera Faustini
75,Ryoichi Ilan,Togni,1992,Vienna,Midfield,Juventus,Salvador,BMO Field,2012,IlYoung Giese
76,Yoshitomi Thoshiaki,Vafaie,1987,Tampa,Forward,Valencia CF,London,Santiago Bernabeu Stadium,2011,Vagan Smallwood
77,Mahmut Vyjayanti,Dedood,1984,Mobile,Defender,FC Bayern Munich,Seattle,San Siro Stadium,2015,Atsufumi Comparetto
78,Annabelle Katsunori,Rouchaleau,1994,Wilmington,Defender,Valencia CF,London,Santiago Bernabeu Stadium,2011,Vagan Smallwood
79,Osmar Norton,Gove,1975-*,Paris,Defender,Sport Club Internacional,Montreal,King Power Stadium,2011,Berardo Gerber
80,Martii Mischa,Matyska,1978,Pasco,Goalkeeper,The New Saints F.C.,Arlington,Parc des Princes,2012,Mayan Tautenhahn
81,Ernest Chiemi,Broch,1989,Birmingham,Midfield,FC Kaiserslautern,Munich,Stadio Olimpico,2012,Atsufumi Comparetto
82,Gang Vivekananda,Hofstetter,1983,Mobile,Defender,P.a.o.k Fc,Brasilia,King Power Stadium,2012,Kazuhiko Claybrook
83,Bhuwan Percy,Bouabdallah,1984,Guangzhou,Forward,VfL Wolfsburg,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsufumi Comparetto
84,Klaus Nicu,Strevell,1979,Roanoke,Forward,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Vagan Smallwood
85,Hideaki Sava,Burtschick,1988,Guatemala,Midfield,Sport Club Internacional,Montreal,King Power Stadium,2013,Soung Alt
86,Masahisa Prabhav,Blaschek,1980,Indianapolis,Midfield,FC Nordsjelland,Moscow,Estadio da Luz,2011,Cees Gunal
87,Sangjin Martin,Sezan,1985,Lisbon,Midfield,New York Red Bulls,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsuyuki Jayaprakash
88,Felipe Gaetano,Nurmeev,1994,Windhoek,Defender,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2011,Xiaolei Ronchette
89,Hing Seichi,Kehrer,1990,Conakry,Midfield,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
90,Hiroyuke Hagbal,Ro;dl,1992,Montgomery,Goalkeeper,Royal Antwerp F.C.,Salvador,BMO Field,2011,Rashi Papadourakis
91,Hing Seichi,Kehrer,1990,Conakry,Defender,FC Spartak Moscow,Istanbul,Jan Breydel Stadium,2012,Olavi Gurd
92,Nedo Sudarshan,Waldherr,1985,Sarasota,Defender,A.C. Perugia Calcio,Solna,Donbass Arena,2014,Nabih Rios
93,Andres Yahya,Wolin,1980,Istanbul,Goalkeeper,SV Werder Bremen,Barcelona,Boleyn Ground,2014,Sigenobu Bodagala
94,Gernod Sowmitri,Harloff,1991,Monterrey,Forward,SV Werder Bremen,Barcelona,Boleyn Ground,2014,Sigenobu Bodagala
95,Fuyau Boo,Grillner,1987,Pocatello,Midfield,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2011,Xiaolei Ronchette
96,Guilang Prasant,Clasen,1982,Fairbanks,Forward,New York Red Bulls,Brasilia,San Siro Stadium,2011,Atsuyuki Jayaprakash
97,Graham Kukhamay,McCain,1989,Barcelona,Midfield,A.C. Perugia Calcio,Solna,Donbass Arena,2013,Masum Kasprzak
98,Catherina Loan,Kolvik,1980,Killeen,Defender,Forest Green Rovers F.C.,Solna,Allianz Arena Olympic Stadium Munich,2012,Srikanth Chimia
99,Ezio Roslyn,Grems,1987,Toronto,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
100,Lundy Bharathi,Remp,1979,Elko,Forward,S.C. Braga,Gelsenkirchen,Sporting Park,2011,Anupam Oxenboll
101,Dallas Chongkye,Timkovsky,1988,Panama,Defender,FK Partizan,Orlando,White Hart Lane,2013,Ryouji Dare
102,Anke Ute,Weener,1995,Kiev,Defender,West Ham United F.C.,Solna,Balaidos,2013,Aiqun Levergood
103,Tejwansh Klemens,Annaratone,1994,Shannon,Defender,Aalborg Boldspilklub,London,Anfield,2014,Rosangela Ketz
104,Saydean Eiichi,Alpuente,1983,Asheville,Forward,FC Anzhi Makhachkala,Hamburg,King Power Stadium,2013,Robert Lally
105,Ravin Shengchang,Cucka,1990,San,Goalkeeper,Borussia Monchengladbach,Cardiff,St James  Park,2012,Jeremy Cantu
106,Mahmut Vyjayanti,Dedood,1984,Mobile,Defender,FC Bayern Munich,Seattle,San Siro Stadium,2015,Atsufumi Comparetto
107,Catherina Loan,Kolvik,1980,Killeen,Defender,Forest Green Rovers F.C.,Solna,Allianz Arena Olympic Stadium Munich,2012,Srikanth Chimia
108,Kazumiti Pin,Ziavras,1980,Orange,Defender,Montpellier HSC,Recife,Stade Velodrome,2013,Bernando Jesus
109,Murat Luc,Kusakabe,1993,Cody,Midfield,Forest Green Rovers F.C.,Solna,Allianz Arena Olympic Stadium Munich,2012,Srikanth Chimia
110,Shigeo Jitender,Ruckebusch,1997,Gainesville,Defender,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
111,Wendie Benson,Brunk,1996,Ouagadougou,Defender,Aalborg Boldspilklub,London,Anfield,2014,Rosangela Ketz
112,Ayal Waeil,Haining,1981,Wichita,Goalkeeper,A.C. Perugia Calcio,Solna,Donbass Arena,2013,Masum Kasprzak
113,Magne Chihping,Jungst,1990,Durban,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
114,Kioumars Junbo,Kavvadias,1990,Beaumont,Forward,Boavista F.C.,Naples,Veltins-Arena,2015,Duckyoung Padhye
115,Farzan Jakob,Onaga,1988,Huntington,Midfield,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
116,Brad Zhaofang,Dighe,1977,Frankfurt,Defender,P.a.o.k Fc,Tokyo,BMO Field,2012,Xiaomin Saoudi
117,Guisseppi Abdelmadjid,Newstead,1994,Istanbul,Midfield,Boavista F.C.,Naples,Veltins-Arena,2015,Duckyoung Padhye
118,Jianlin Guanghui,Rudstrom,1979,Des,Forward,A.C. Perugia Calcio,Solna,Donbass Arena,2014,Nabih Rios
119,Setsuo Gay,Preas,1980,South,Goalkeeper,New York Red Bulls,Solna,Balaidos,2011,Jiangling Micheaux
120,Zoubida Roch,Capps,1989,Toulouse,Goalkeeper,Delfino Pescara 1936,Orlando,King Power Stadium,2012,Robbert Flach
121,Gang Vivekananda,Hofstetter,1983,Mobile,Midfield,ACF Fiorentina,Hamburg,King Power Stadium,2013,Suranjan Sakurai
122,Abdalla Susannne,Hoare,1982,Gulfport,Midfield,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Veit Luks
123,Mehryar Judi,Favre,1995,Amarillo,Midfield,New York Red Bulls,Solna,Balaidos,2011,Jiangling Micheaux
124,Pierangela Sudha,Tulley,1986,Greensboro,Goalkeeper,P.a.o.k Fc,Brasilia,King Power Stadium,2012,Sreenivas Wohr
125,Myla Nikolaus,Goni,1995,Budapest,Midfield,Valencia CF,Munich,Stadio Olimpico,2011,Veit Luks
126,Annabelle Katsunori,Rouchaleau,1994,Wilmington,Defender,Valencia CF,London,Santiago Bernabeu Stadium,2011,Vagan Smallwood
127,Masum Zhenbing,Kwasny,1982,Charleston,Forward,Wolverhampton Wanderers Football Club,Dortmund,Stadio San Paolo,2013,Sigenobu Bodagala
128,Graham Kukhamay,McCain,1989,Barcelona,Midfield,S.C. Braga,Gelsenkirchen,Sporting Park,2013,Vagan Smallwood
129,Ernest Chiemi,Broch,1989,Birmingham,Defender,West Ham United F.C.,Solna,Balaidos,2013,Aiqun Levergood
130,Yasusi Seongyeol,Clemm,1997,Des,Defender,FK Partizan,Orlando,White Hart Lane,2012,Ravindra Grnarov
131,Rahim Barton,Kawakami,1993,Billings,Defender,FK Partizan,Orlando,White Hart Lane,2013,Ryouji Dare
132,Dagmar Marilde,Shackel,1985,Memphis,Defender,Boavista F.C.,Naples,Veltins-Arena,2013,Srikanth Chimia
133,Tatsuro Kamaljit,Specker,1994,Shreveport,Forward,S.C. Braga,Gelsenkirchen,Sporting Park,2014,Bernando Jesus
134,Yibei Yousong,Berthiaume,1989,Prague,Forward,The New Saints F.C.,Arlington,Parc des Princes,2014,Robbert Flach
135,Nili Reese,Kopanas,1975,Augusta,Goalkeeper,FC Anzhi Makhachkala,Tokyo,BMO Field,2013,Robert Lally
136,Tatuo Bongki,Scofield,1992,Birmingham,Forward,S.C. Braga,Gelsenkirchen,Sporting Park,2013,Shyamala Gibbs
137,Jeroen Yiyun,Henriksson,1981,Tri,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
138,Rudie Subbu,Hermanns,1992,Sao,Midfield,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
139,Daisy Ryotaro,Felciano,1976,Milan,Goalkeeper,Lille OSC,Munich,Allianz Arena Olympic Stadium Munich,2011,Robert Lally
140,Yadran Mechthild,Rayne,1983,South,Forward,A.C. Perugia Calcio,Solna,Donbass Arena,2013,Atsufumi Comparetto
141,Saydean Eiichi,Alpuente,1983,Asheville,Forward,The New Saints F.C.,Arlington,Parc des Princes,2012,Mayan Tautenhahn
142,Attila Adelheit,Ebbinghaus,1983,Manchester,Forward,The New Saints F.C.,London,Santiago Bernabeu Stadium,2012,Mayan Tautenhahn
143,Rahim Barton,Kawakami,1993,Billings,Defender,FK Partizan,Orlando,White Hart Lane,2013,Ryouji Dare
144,Heiner Farahangiz,Weatherhead,1979,Louisville,Midfield,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Veit Luks
145,Huajun Haijo,Zajak,1982,Conakry,Forward,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
146,Devina Qutaibah,Schloegel,1997,Charleston,Goalkeeper,Boavista F.C.,Naples,Veltins-Arena,2014,Torsten Fedou
147,Roger Kazi,Kraetzl,1990,Macon,Midfield,Sport Club Internacional,Montreal,King Power Stadium,2011,Berardo Gerber
148,Cherri Toshiaki,Musselman,1984,Valdosta,Midfield,New York Red Bulls,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsuyuki Jayaprakash
149,Omer Ponnarasu,Savaria,1976,Vancouver,Midfield,FC Dinamo Bucuresti,Hamburg,Amsterdam Arena,2013,Mattan Edelhoff
150,Jinsei Ranjeev,Blix,1983,Cozumel,Midfield,A.C. Perugia Calcio,Solna,Donbass Arena,2013,Atsufumi Comparetto
151,Felipe Gaetano,Nurmeev,1994,Windhoek,Defender,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2011,Xiaolei Ronchette
152,Ezio Roslyn,Grems,1987,Toronto,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
153,Izak Monte,Mattison,1992,Budapest,Midfield,FC Kaiserslautern,Munich,Stadio Olimpico,2012,Atsufumi Comparetto
154,Fiora Avinash,Rosinski,1993,Palm,Defender,The New Saints F.C.,Arlington,Parc des Princes,2014,Robbert Flach
155,Yookun Apostol,Benn,1984,Los,Defender,Boavista F.C.,Naples,Veltins-Arena,2015,Duckyoung Padhye
156,Anke Ute,Weener,1995,Kiev,Defender,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2013,Jeremy Cantu
157,Guoren Igino,Hudelmaier,1979,Santiago,Defender,Tianjin Teda F.C.,Cardiff,Estadio da Luz,2011,Ryouji Dare
158,Mahmut Vyjayanti,Dedood,1984,Mobile,Goalkeeper,FK Partizan,Orlando,White Hart Lane,2012,Ravindra Grnarov
159,Chase Jed,Pascual,1984,Caracas,Midfield,Wolverhampton Wanderers Football Club,Dortmund,Stadio San Paolo,2013,Sigenobu Bodagala
160,Ayal Waeil,Haining,1981,Wichita,Goalkeeper,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
161,Gesine Tilmann,Cagman,1996,Corpus,Defender,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
162,Renganathan Sihai,Godo,1989,Baton,Goalkeeper,The New Saints F.C.,Arlington,Parc des Princes,2012,Mayan Tautenhahn
163,Xiaola Jinhwan,Steffan,1977,Chihuahua,Midfield,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Vagan Smallwood
164,Otthein Naftaly,Hogan,1976,Salvador,Midfield,FC Dinamo Bucuresti,Hamburg,Amsterdam Arena,2013,Mattan Edelhoff
165,Gongzhu Youngmok,Kubicar,1979,Warsaw,Defender,S.C. Braga,Gelsenkirchen,Sporting Park,2013,Henryk Kochs
166,Boyan Witold,Symes,1986,Vail,Midfield,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2013,Jeremy Cantu
167,Vijay Ravindranath,Codenie,1985,Montreal,Midfield,Wolverhampton Wanderers Football Club,Dortmund,Stadio San Paolo,2013,Sigenobu Bodagala
168,Elenora Noriyuki,Gawlick,1988,Orange,Goalkeeper,Aik Solna,Mexico City,Vicente Calderon Stadium,2010,Shigetomo Abbas
169,Krishnaprasad Hiu,Llewellyn,1984,Nassau,Midfield,FC Dinamo Bucuresti,Hamburg,Amsterdam Arena,2013,Mattan Edelhoff
170,Yadran Mechthild,Rayne,1983,South,Forward,FC Anzhi Makhachkala,Tokyo,BMO Field,2013,Robert Lally
171,Lorrin Kazuki,Gabalda,1991,Veracruz,Forward,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
172,Hiroyuke Hagbal,Ro;dl,1992,Montgomery,Goalkeeper,Royal Antwerp F.C.,Salvador,BMO Field,2011,Rashi Papadourakis
173,Gesine Tilmann,Cagman,1996,Corpus,Midfield,Boavista F.C.,Naples,Veltins-Arena,2013,Srikanth Chimia
174,Annabelle Katsunori,Rouchaleau,1994,Wilmington,Defender,Valencia CF,London,Santiago Bernabeu Stadium,2011,Vagan Smallwood
175,Guilang Prasant,Clasen,1982,Fairbanks,Forward,New York Red Bulls,Brasilia,San Siro Stadium,2011,Atsuyuki Jayaprakash
176,Fortune Orestes,Waack,1989,Cape,Forward,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
177,Graham Kukhamay,McCain,1989,Barcelona,Midfield,Seattle Sounders,Dortmund,Stadio San Paolo,2013,Nabih Rios
178,Athushi Belli,Gull,1977,Key,Defender,A.C. Perugia Calcio,Solna,Donbass Arena,2014,Nabih Rios
179,Magne Chihping,Jungst,1990,Durban,Forward,FC Anzhi Makhachkala,Tokyo,BMO Field,2013,Robert Lally
180,Daisy Ryotaro,Felciano,1976,Milan,Midfield,Borussia Monchengladbach,Cardiff,St James  Park,2010,Jeremy Cantu
181,Saydean Eiichi,Alpuente,1983,Asheville,Forward,The New Saints F.C.,Arlington,Parc des Princes,2012,Mayan Tautenhahn
182,Martii Mischa,Matyska,1978,Pasco,Forward,Wolverhampton Wanderers Football Club,Dortmund,Stadio San Paolo,2013,Sigenobu Bodagala
183,Surjatini Joohack,Spehner,1978,New,Midfield,Borussia Monchengladbach,Cardiff,St James  Park,2012,Jeremy Cantu
184,Boyan Witold,Symes,1986,Vail,Midfield,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2013,Jeremy Cantu
185,Zengping Alissa,Touretzky,1983,Roanoke,Goalkeeper,Tianjin Teda F.C.,Cardiff,Estadio da Luz,2014,Ahsan Kliger
186,Wendie Benson,Brunk,1996,Ouagadougou,Defender,Aalborg Boldspilklub,London,Anfield,2014,Rosangela Ketz
187,Osten Bian,Gotoda,1993,Wilmington,Midfield,Lille OSC,Munich,Allianz Arena Olympic Stadium Munich,2010,Robert Lally
188,Devina Qutaibah,Schloegel,1997,Charleston,Goalkeeper,Royal Antwerp F.C.,London,Santiago Bernabeu Stadium,2011,Rashi Papadourakis
189,Athushi Belli,Gull,1977,Key,Defender,A.C. Perugia Calcio,Solna,Donbass Arena,2014,Nabih Rios
190,Gongzhu Youngmok,Kubicar,1979,Warsaw,Midfield,Delfino Pescara 1936,Orlando,King Power Stadium,2012,Robbert Flach
191,Sangjin Martin,Sezan,1985,Lisbon,Defender,FC Spartak Moscow,Rio de Janeiro,Stadio Olimpico,2012,Olavi Gurd
192,Hichum Ashok,Leifker,1984,Monroe,Defender,Forest Green Rovers F.C.,Solna,Allianz Arena Olympic Stadium Munich,2014,Bon Kruiskamp
193,Alfred Giovanni,Larab,1990,Colorado,Goalkeeper,Borussia Monchengladbach,Cardiff,St James  Park,2012,Jeremy Cantu
194,Yadran Mechthild,Rayne,1983,South,Forward,Juventus,Salvador,BMO Field,2012,IlYoung Giese
195,Yasubumi Friedemann,Nobauer,1984,Louisville,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
196,Afke Vlad,Tischendorf,1997,Worcester,Midfield,Borussia Monchengladbach,Hamburg,Estadio da Luz,2012,Jeremy Cantu
197,Hideaki Sava,Burtschick,1988,Guatemala,Defender,The New Saints F.C.,Arlington,Parc des Princes,2014,Robbert Flach
198,Woei Dongmo,Ogawa,1988,Aguascalientes,Defender,Tianjin Teda F.C.,Cardiff,Estadio da Luz,2011,Ryouji Dare
199,Nasreddine Dongseung,Zallocco,1995,Leon,Midfield,Valencia CF,Stuttgart,Camp Nou,2011,Veit Luks
200,Cherri Toshiaki,Musselman,1984,Valdosta,Midfield,New York Red Bulls,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsuyuki Jayaprakash
201,Alison Pierdaniele,Knauff,1992,Mobile,Defender,FC Spartak Moscow,Istanbul,Jan Breydel Stadium,2011,Yki Villano
202,Takenobu Leighton,Derby,1989,Savannah,Forward,Valencia CF,Munich,Stadio Olimpico,2011,Vagan Smallwood
203,Saydean Eiichi,Alpuente,1983,Asheville,Forward,FC Anzhi Makhachkala,Hamburg,King Power Stadium,2013,Robert Lally
