tid,attribute,correct_val
33,birthplace,paris
33,position,defender
33,team,clube de regatas do flamengo
33,city,rio de janeiro
33,stadium,stadio olimpico
33,season,2011
33,manager,xiaolei ronchette
34,name,daisy ryotaro
34,surname,felciano
34,birthyear,1976
34,birthplace,milan
34,position,midfield
34,team,royal antwerp f.c.
34,city,london
34,stadium,santiago bernabeu stadium
34,season,2011
34,manager,rashi papadourakis
35,name,sangjin martin
35,surname,sezan
35,birthyear,1985
35,birthplace,lisbon
35,position,defender
35,team,fc spartak moscow
35,city,rio de janeiro
35,stadium,stadio olimpico
35,season,2012
35,manager,olavi gurd
36,name,peteris yusuf
36,surname,maxson
36,birthyear,1989
36,birthplace,tokyo
36,position,midfield
36,team,acf fiorentina
36,city,hamburg
36,stadium,estadio da luz
36,season,2012
36,manager,atsuyuki jayaprakash
37,name,sahrah kimon
37,surname,muluszynski
37,birthyear,1991
37,birthplace,gainesville
37,position,goalkeeper
37,team,wolverhampton wanderers football club
37,city,glasgow
37,stadium,emirates stadium
37,season,2013
37,manager,sigenobu bodagala
38,name,mehryar judi
38,surname,favre
38,birthyear,1995
38,birthplace,amarillo
38,position,midfield
38,team,vfl wolfsburg
38,city,solna
38,stadium,allianz arena olympic stadium munich
38,season,2011
38,manager,atsufumi comparetto
39,name,yadran mechthild
39,surname,rayne
39,birthyear,1983
39,birthplace,south
39,position,defender
39,team,new york red bulls
39,city,solna
39,stadium,allianz arena olympic stadium munich
39,season,2011
39,manager,atsuyuki jayaprakash
40,name,salim uday
40,surname,buttyan
40,birthyear,1986
40,birthplace,beaumont
40,position,goalkeeper
40,team,valencia cf
40,city,stuttgart
40,stadium,camp nou
40,season,2011
40,manager,veit luks
41,name,ayal waeil
41,surname,haining
41,birthyear,1981
41,birthplace,wichita
41,position,goalkeeper
41,team,toronto fc
41,city,stuttgart
41,stadium,camp nou
41,season,2014
41,manager,kazuhiko claybrook
42,name,shunge wop
42,surname,latch
42,birthyear,1982
42,birthplace,guatemala
42,position,forward
42,team,acf fiorentina
42,city,hamburg
42,stadium,king power stadium
42,season,2014
42,manager,aiqun levergood
43,name,ezio roslyn
43,surname,grems
43,birthyear,1987
43,birthplace,toronto
43,position,midfield
43,team,juventus
43,city,salvador
43,stadium,bmo field
43,season,2010
43,manager,masum kasprzak
44,name,fortune orestes
44,surname,waack
44,birthyear,1989
44,birthplace,cape
44,position,forward
44,team,juventus
44,city,salvador
44,stadium,bmo field
44,season,2010
44,manager,masum kasprzak
45,name,takenobu leighton
45,surname,derby
45,birthyear,1989
45,birthplace,savannah
45,position,defender
45,team,juventus
45,city,salvador
45,stadium,bmo field
45,season,2015
45,manager,sigenobu bodagala
46,name,boijdar michal
46,surname,yntema
46,birthyear,1982
46,birthplace,beaumont
46,position,midfield
46,team,clube de regatas do flamengo
46,city,rio de janeiro
46,stadium,stadio olimpico
46,season,2013
46,manager,jeremy cantu
47,name,dongmyun samuel
47,surname,corvi
47,birthyear,1991
47,birthplace,portland
47,position,forward
47,team,juventus
47,city,salvador
47,stadium,bmo field
47,season,2012
47,manager,ilyoung giese
48,name,catuscia ivo
48,surname,miles
48,birthyear,1984
48,birthplace,guaymas
48,position,defender
48,team,the new saints f.c.
48,city,arlington
48,stadium,parc des princes
48,season,2012
48,manager,mayan tautenhahn
49,name,guoren igino
49,surname,hudelmaier
49,birthyear,1979
49,birthplace,santiago
49,position,defender
49,team,seattle sounders
49,city,dortmund
49,stadium,stadio san paolo
49,season,2013
49,manager,nabih rios
50,name,geraud pat
50,surname,sherratt
50,birthyear,1976
50,birthplace,wilkes
50,position,midfield
50,team,boavista f.c.
50,city,naples
50,stadium,veltins-arena
50,season,2014
50,manager,torsten fedou
51,name,sanjaya raed
51,surname,zabele
51,birthyear,1996
51,birthplace,twin
51,position,goalkeeper
51,team,fc anzhi makhachkala
51,city,tokyo
51,stadium,bmo field
51,season,2013
51,manager,robert lally
52,name,magne chihping
52,surname,jungst
52,birthyear,1990
52,birthplace,durban
52,position,midfield
52,team,juventus
52,city,salvador
52,stadium,bmo field
52,season,2010
52,manager,masum kasprzak
53,name,steinar sathis
53,surname,brugnano
53,birthyear,1987
53,birthplace,tokyo
53,position,goalkeeper
53,team,s.c. braga
53,city,gelsenkirchen
53,stadium,sporting park
53,season,2011
53,manager,anupam oxenboll
54,name,yookun apostol
54,surname,benn
54,birthyear,1984
54,birthplace,los
54,position,midfield
54,team,aalborg boldspilklub
54,city,london
54,stadium,anfield
54,season,2014
54,manager,rosangela ketz
55,name,yasubumi friedemann
55,surname,nobauer
55,birthyear,1984
55,birthplace,louisville
55,position,midfield
55,team,juventus
55,city,salvador
55,stadium,bmo field
55,season,2010
55,manager,masum kasprzak
56,name,devina qutaibah
56,surname,schloegel
56,birthyear,1997
56,birthplace,charleston
56,position,goalkeeper
56,team,royal antwerp f.c.
56,city,london
56,stadium,santiago bernabeu stadium
56,season,2011
56,manager,rashi papadourakis
57,name,petko maogang
57,surname,usha
57,birthyear,1986
57,birthplace,nice
57,position,defender
57,team,fc kaiserslautern
57,city,munich
57,stadium,stadio olimpico
57,season,2012
57,manager,atsufumi comparetto
58,name,alison pierdaniele
58,surname,knauff
58,birthyear,1992
58,birthplace,mobile
58,position,defender
58,team,fc spartak moscow
58,city,istanbul
58,stadium,jan breydel stadium
58,season,2011
58,manager,yki villano
59,name,laird capers
59,surname,aigrain
59,birthyear,1990
59,birthplace,vail
59,position,defender
59,team,fc anzhi makhachkala
59,city,tokyo
59,stadium,bmo field
59,season,2013
59,manager,robert lally
60,name,wonhee chrysantos
60,surname,cremilleux
60,birthyear,1981
60,birthplace,melbourne
60,position,defender
60,team,new york red bulls
60,city,brasilia
60,stadium,san siro stadium
60,season,2011
60,manager,atsuyuki jayaprakash
61,name,krishnaprasad hiu
61,surname,llewellyn
61,birthyear,1984
61,birthplace,nassau
61,position,midfield
61,team,fc dinamo bucuresti
61,city,hamburg
61,stadium,amsterdam arena
61,season,2013
61,manager,mattan edelhoff
62,name,theordore zhaoqian
62,surname,devroye
62,birthyear,1991
62,birthplace,lexington
62,position,defender
62,team,forest green rovers f.c.
62,city,solna
62,stadium,allianz arena olympic stadium munich
62,season,2014
62,manager,bon kruiskamp
63,name,chase jed
63,surname,pascual
63,birthyear,1984
63,birthplace,caracas
63,position,midfield
63,team,vfl wolfsburg
63,city,solna
63,stadium,allianz arena olympic stadium munich
63,season,2011
63,manager,atsufumi comparetto
64,name,zhili vinay
64,surname,molzberger
64,birthyear,1981
64,birthplace,florence
64,position,goalkeeper
64,team,boavista f.c.
64,city,naples
64,stadium,veltins-arena
64,season,2013
64,manager,srikanth chimia
65,name,bhuwan percy
65,surname,bouabdallah
65,birthyear,1984
65,birthplace,guangzhou
65,position,forward
65,team,boavista f.c.
65,city,naples
65,stadium,veltins-arena
65,season,2015
65,manager,duckyoung padhye
66,name,huajun haijo
66,surname,zajak
66,birthyear,1982
66,birthplace,conakry
66,position,midfield
66,team,the new saints f.c.
66,city,arlington
66,stadium,parc des princes
66,season,2014
66,manager,robbert flach
67,name,jim jaak
67,surname,tchernykh
67,birthyear,1990
67,birthplace,toulouse
67,position,midfield
67,team,juventus
67,city,salvador
67,stadium,bmo field
67,season,2012
67,manager,ilyoung giese
68,name,judy brant
68,surname,prenel
68,birthyear,1978
68,birthplace,worcester
68,position,midfield
68,team,juventus
68,city,salvador
68,stadium,bmo field
68,season,2015
68,manager,sigenobu bodagala
69,name,mahmut vyjayanti
69,surname,dedood
69,birthyear,1984
69,birthplace,mobile
69,position,goalkeeper
69,team,fk partizan
69,city,orlando
69,stadium,white hart lane
69,season,2012
69,manager,ravindra grnarov
70,name,gesine tilmann
70,surname,cagman
70,birthyear,1996
70,birthplace,corpus
70,position,midfield
70,team,wolverhampton wanderers football club
70,city,glasgow
70,stadium,emirates stadium
70,season,2013
70,manager,sigenobu bodagala
71,name,gongzhu youngmok
71,surname,kubicar
71,birthyear,1979
71,birthplace,warsaw
71,position,midfield
71,team,delfino pescara 1936
71,city,orlando
71,stadium,king power stadium
71,season,2012
71,manager,robbert flach
72,name,gina kenta
72,surname,besancenot
72,birthyear,1976
72,birthplace,mobile
72,position,defender
72,team,clube de regatas do flamengo
72,city,rio de janeiro
72,stadium,stadio olimpico
72,season,2013
72,manager,jeremy cantu
73,name,gesine tilmann
73,surname,cagman
73,birthyear,1996
73,birthplace,corpus
73,position,defender
73,team,vfl wolfsburg
73,city,berlin
73,stadium,westfalenstadion
73,season,2011
73,manager,atsufumi comparetto
74,name,huu shian
74,surname,abraham
74,birthyear,1988
74,birthplace,albuquerque
74,position,midfield
74,team,boavista f.c.
74,city,naples
74,stadium,veltins-arena
74,season,2014
74,manager,piera faustini
75,name,ryoichi ilan
75,surname,togni
75,birthyear,1992
75,birthplace,vienna
75,position,midfield
75,team,juventus
75,city,salvador
75,stadium,bmo field
75,season,2012
75,manager,ilyoung giese
76,name,yoshitomi thoshiaki
76,surname,vafaie
76,birthyear,1987
76,birthplace,tampa
76,position,forward
76,team,valencia cf
76,city,london
76,stadium,santiago bernabeu stadium
76,season,2011
76,manager,vagan smallwood
77,name,mahmut vyjayanti
77,surname,dedood
77,birthyear,1984
77,birthplace,mobile
77,position,defender
77,team,fc bayern munich
77,city,seattle
77,stadium,san siro stadium
77,season,2015
77,manager,atsufumi comparetto
78,name,annabelle katsunori
78,surname,rouchaleau
78,birthyear,1994
78,birthplace,wilmington
78,position,defender
78,team,valencia cf
78,city,london
78,stadium,santiago bernabeu stadium
78,season,2011
78,manager,vagan smallwood
79,name,osmar norton
79,surname,gove
79,birthyear,1975
79,birthplace,paris
79,position,defender
79,team,sport club internacional
79,city,montreal
79,stadium,king power stadium
79,season,2011
79,manager,berardo gerber
80,name,martii mischa
80,surname,matyska
80,birthyear,1978
80,birthplace,pasco
80,position,goalkeeper
80,team,the new saints f.c.
80,city,arlington
80,stadium,parc des princes
80,season,2012
80,manager,mayan tautenhahn
81,name,ernest chiemi
81,surname,broch
81,birthyear,1989
81,birthplace,birmingham
81,position,midfield
81,team,fc kaiserslautern
81,city,munich
81,stadium,stadio olimpico
81,season,2012
81,manager,atsufumi comparetto
82,name,gang vivekananda
82,surname,hofstetter
82,birthyear,1983
82,birthplace,mobile
82,position,defender
82,team,p.a.o.k fc
82,city,brasilia
82,stadium,king power stadium
82,season,2012
82,manager,kazuhiko claybrook
83,name,bhuwan percy
83,surname,bouabdallah
83,birthyear,1984
83,birthplace,guangzhou
83,position,forward
83,team,vfl wolfsburg
83,city,solna
83,stadium,allianz arena olympic stadium munich
83,season,2011
83,manager,atsufumi comparetto
84,name,klaus nicu
84,surname,strevell
84,birthyear,1979
84,birthplace,roanoke
84,position,forward
84,team,valencia cf
84,city,montevideo
84,stadium,constant vanden stock stadium
84,season,2011
84,manager,vagan smallwood
85,name,hideaki sava
85,surname,burtschick
85,birthyear,1988
85,birthplace,guatemala
85,position,midfield
85,team,sport club internacional
85,city,montreal
85,stadium,king power stadium
85,season,2013
85,manager,soung alt
86,name,masahisa prabhav
86,surname,blaschek
86,birthyear,1980
86,birthplace,indianapolis
86,position,midfield
86,team,fc nordsjelland
86,city,moscow
86,stadium,estadio da luz
86,season,2011
86,manager,cees gunal
87,name,sangjin martin
87,surname,sezan
87,birthyear,1985
87,birthplace,lisbon
87,position,midfield
87,team,new york red bulls
87,city,solna
87,stadium,allianz arena olympic stadium munich
87,season,2011
87,manager,atsuyuki jayaprakash
88,name,felipe gaetano
88,surname,nurmeev
88,birthyear,1994
88,birthplace,windhoek
88,position,defender
88,team,clube de regatas do flamengo
88,city,rio de janeiro
88,stadium,stadio olimpico
88,season,2011
88,manager,xiaolei ronchette
89,name,hing seichi
89,surname,kehrer
89,birthyear,1990
89,birthplace,conakry
89,position,midfield
89,team,toronto fc
89,city,stuttgart
89,stadium,camp nou
89,season,2014
89,manager,kazuhiko claybrook
90,name,hiroyuke hagbal
90,surname,ro;dl
90,birthyear,1992
90,birthplace,montgomery
90,position,goalkeeper
90,team,royal antwerp f.c.
90,city,salvador
90,stadium,bmo field
90,season,2011
90,manager,rashi papadourakis
91,name,hing seichi
91,surname,kehrer
91,birthyear,1990
91,birthplace,conakry
91,position,defender
91,team,fc spartak moscow
91,city,istanbul
91,stadium,jan breydel stadium
91,season,2012
91,manager,olavi gurd
92,name,nedo sudarshan
92,surname,waldherr
92,birthyear,1985
92,birthplace,sarasota
92,position,defender
92,team,a.c. perugia calcio
92,city,solna
92,stadium,donbass arena
92,season,2014
92,manager,nabih rios
93,name,andres yahya
93,surname,wolin
93,birthyear,1980
93,birthplace,istanbul
93,position,goalkeeper
93,team,sv werder bremen
93,city,barcelona
93,stadium,boleyn ground
93,season,2014
93,manager,sigenobu bodagala
94,name,gernod sowmitri
94,surname,harloff
94,birthyear,1991
94,birthplace,monterrey
94,position,forward
94,team,sv werder bremen
94,city,barcelona
94,stadium,boleyn ground
94,season,2014
94,manager,sigenobu bodagala
95,name,fuyau boo
95,surname,grillner
95,birthyear,1987
95,birthplace,pocatello
95,position,midfield
95,team,clube de regatas do flamengo
95,city,rio de janeiro
95,stadium,stadio olimpico
95,season,2011
95,manager,xiaolei ronchette
96,name,guilang prasant
96,surname,clasen
96,birthyear,1982
96,birthplace,fairbanks
96,position,forward
96,team,new york red bulls
96,city,brasilia
96,stadium,san siro stadium
96,season,2011
96,manager,atsuyuki jayaprakash
97,name,graham kukhamay
97,surname,mccain
97,birthyear,1989
97,birthplace,barcelona
97,position,midfield
97,team,a.c. perugia calcio
97,city,solna
97,stadium,donbass arena
97,season,2013
97,manager,masum kasprzak
98,name,catherina loan
98,surname,kolvik
98,birthyear,1980
98,birthplace,killeen
98,position,defender
98,team,forest green rovers f.c.
98,city,solna
98,stadium,allianz arena olympic stadium munich
98,season,2012
98,manager,srikanth chimia
99,name,ezio roslyn
99,surname,grems
99,birthyear,1987
99,birthplace,toronto
99,position,midfield
99,team,juventus
99,city,salvador
99,stadium,bmo field
99,season,2010
99,manager,masum kasprzak
100,name,lundy bharathi
100,surname,remp
100,birthyear,1979
100,birthplace,elko
100,position,forward
100,team,s.c. braga
100,city,gelsenkirchen
100,stadium,sporting park
100,season,2011
100,manager,anupam oxenboll
101,name,dallas chongkye
101,surname,timkovsky
101,birthyear,1988
101,birthplace,panama
101,position,defender
101,team,fk partizan
101,city,orlando
101,stadium,white hart lane
101,season,2013
101,manager,ryouji dare
102,name,anke ute
102,surname,weener
102,birthyear,1995
102,birthplace,kiev
102,position,defender
102,team,west ham united f.c.
102,city,solna
102,stadium,balaidos
102,season,2013
102,manager,aiqun levergood
103,name,tejwansh klemens
103,surname,annaratone
103,birthyear,1994
103,birthplace,shannon
103,position,defender
103,team,aalborg boldspilklub
103,city,london
103,stadium,anfield
103,season,2014
103,manager,rosangela ketz
104,name,saydean eiichi
104,surname,alpuente
104,birthyear,1983
104,birthplace,asheville
104,position,forward
104,team,fc anzhi makhachkala
104,city,hamburg
104,stadium,king power stadium
104,season,2013
104,manager,robert lally
105,name,ravin shengchang
105,surname,cucka
105,birthyear,1990
105,birthplace,san
105,position,goalkeeper
105,team,borussia monchengladbach
105,city,cardiff
105,stadium,st james  park
105,season,2012
105,manager,jeremy cantu
106,name,mahmut vyjayanti
106,surname,dedood
106,birthyear,1984
106,birthplace,mobile
106,position,defender
106,team,fc bayern munich
106,city,seattle
106,stadium,san siro stadium
106,season,2015
106,manager,atsufumi comparetto
107,name,catherina loan
107,surname,kolvik
107,birthyear,1980
107,birthplace,killeen
107,position,defender
107,team,forest green rovers f.c.
107,city,solna
107,stadium,allianz arena olympic stadium munich
107,season,2012
107,manager,srikanth chimia
108,name,kazumiti pin
108,surname,ziavras
108,birthyear,1980
108,birthplace,orange
108,position,defender
108,team,montpellier hsc
108,city,recife
108,stadium,stade velodrome
108,season,2013
108,manager,bernando jesus
109,name,murat luc
109,surname,kusakabe
109,birthyear,1993
109,birthplace,cody
109,position,midfield
109,team,forest green rovers f.c.
109,city,solna
109,stadium,allianz arena olympic stadium munich
109,season,2012
109,manager,srikanth chimia
110,name,shigeo jitender
110,surname,ruckebusch
110,birthyear,1997
110,birthplace,gainesville
110,position,defender
110,team,toronto fc
110,city,stuttgart
110,stadium,camp nou
110,season,2014
110,manager,kazuhiko claybrook
111,name,wendie benson
111,surname,brunk
111,birthyear,1996
111,birthplace,ouagadougou
111,position,defender
111,team,aalborg boldspilklub
111,city,london
111,stadium,anfield
111,season,2014
111,manager,rosangela ketz
112,name,ayal waeil
112,surname,haining
112,birthyear,1981
112,birthplace,wichita
112,position,goalkeeper
112,team,a.c. perugia calcio
112,city,solna
112,stadium,donbass arena
112,season,2013
112,manager,masum kasprzak
113,name,magne chihping
113,surname,jungst
113,birthyear,1990
113,birthplace,durban
113,position,midfield
113,team,juventus
113,city,salvador
113,stadium,bmo field
113,season,2010
113,manager,masum kasprzak
114,name,kioumars junbo
114,surname,kavvadias
114,birthyear,1990
114,birthplace,beaumont
114,position,forward
114,team,boavista f.c.
114,city,naples
114,stadium,veltins-arena
114,season,2015
114,manager,duckyoung padhye
115,name,farzan jakob
115,surname,onaga
115,birthyear,1988
115,birthplace,huntington
115,position,midfield
115,team,juventus
115,city,salvador
115,stadium,bmo field
115,season,2015
115,manager,sigenobu bodagala
116,name,brad zhaofang
116,surname,dighe
116,birthyear,1977
116,birthplace,frankfurt
116,position,defender
116,team,p.a.o.k fc
116,city,tokyo
116,stadium,bmo field
116,season,2012
116,manager,xiaomin saoudi
117,name,guisseppi abdelmadjid
117,surname,newstead
117,birthyear,1994
117,birthplace,istanbul
117,position,midfield
117,team,boavista f.c.
117,city,naples
117,stadium,veltins-arena
117,season,2015
117,manager,duckyoung padhye
118,name,jianlin guanghui
118,surname,rudstrom
118,birthyear,1979
118,birthplace,des
118,position,forward
118,team,a.c. perugia calcio
118,city,solna
118,stadium,donbass arena
118,season,2014
118,manager,nabih rios
119,name,setsuo gay
119,surname,preas
119,birthyear,1980
119,birthplace,south
119,position,goalkeeper
119,team,west ham united f.c.
119,city,solna
119,stadium,balaidos
119,season,2011
119,manager,jiangling micheaux
120,name,zoubida roch
120,surname,capps
120,birthyear,1989
120,birthplace,toulouse
120,position,goalkeeper
120,team,delfino pescara 1936
120,city,orlando
120,stadium,king power stadium
120,season,2012
120,manager,robbert flach
121,name,gang vivekananda
121,surname,hofstetter
121,birthyear,1983
121,birthplace,mobile
121,position,midfield
121,team,acf fiorentina
121,city,hamburg
121,stadium,king power stadium
121,season,2013
121,manager,suranjan sakurai
122,name,abdalla susannne
122,surname,hoare
122,birthyear,1982
122,birthplace,gulfport
122,position,midfield
122,team,valencia cf
122,city,montevideo
122,stadium,constant vanden stock stadium
122,season,2011
122,manager,veit luks
123,name,mehryar judi
123,surname,favre
123,birthyear,1995
123,birthplace,amarillo
123,position,midfield
123,team,west ham united f.c.
123,city,solna
123,stadium,balaidos
123,season,2011
123,manager,jiangling micheaux
124,name,pierangela sudha
124,surname,tulley
124,birthyear,1986
124,birthplace,greensboro
124,position,goalkeeper
124,team,p.a.o.k fc
124,city,brasilia
124,stadium,king power stadium
124,season,2012
124,manager,sreenivas wohr
125,name,myla nikolaus
125,surname,goni
125,birthyear,1995
125,birthplace,budapest
125,position,midfield
125,team,valencia cf
125,city,munich
125,stadium,stadio olimpico
125,season,2011
125,manager,veit luks
126,name,annabelle katsunori
126,surname,rouchaleau
126,birthyear,1994
126,birthplace,wilmington
126,position,defender
126,team,valencia cf
126,city,london
126,stadium,santiago bernabeu stadium
126,season,2011
126,manager,vagan smallwood
127,name,masum zhenbing
127,surname,kwasny
127,birthyear,1982
127,birthplace,charleston
127,position,forward
127,team,wolverhampton wanderers football club
127,city,dortmund
127,stadium,stadio san paolo
127,season,2013
127,manager,sigenobu bodagala
128,name,graham kukhamay
128,surname,mccain
128,birthyear,1989
128,birthplace,barcelona
128,position,midfield
128,team,s.c. braga
128,city,gelsenkirchen
128,stadium,sporting park
128,season,2013
128,manager,vagan smallwood
129,name,ernest chiemi
129,surname,broch
129,birthyear,1989
129,birthplace,birmingham
129,position,defender
129,team,west ham united f.c.
129,city,solna
129,stadium,balaidos
129,season,2013
129,manager,aiqun levergood
130,name,yasusi seongyeol
130,surname,clemm
130,birthyear,1997
130,birthplace,des
130,position,defender
130,team,fk partizan
130,city,orlando
130,stadium,white hart lane
130,season,2012
130,manager,ravindra grnarov
131,name,rahim barton
131,surname,kawakami
131,birthyear,1993
131,birthplace,billings
131,position,defender
131,team,fk partizan
131,city,orlando
131,stadium,white hart lane
131,season,2013
131,manager,ryouji dare
132,name,dagmar marilde
132,surname,shackel
132,birthyear,1985
132,birthplace,memphis
132,position,defender
132,team,boavista f.c.
132,city,naples
132,stadium,veltins-arena
132,season,2013
132,manager,srikanth chimia
133,name,tatsuro kamaljit
133,surname,specker
133,birthyear,1994
133,birthplace,shreveport
133,position,forward
133,team,s.c. braga
133,city,gelsenkirchen
133,stadium,sporting park
133,season,2014
133,manager,bernando jesus
134,name,yibei yousong
