infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;63;69;281;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;69;69;68;69;69;0;69;0
dk;incremental;True;1;64;59;281;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;59;59;58;59;59;0;59;0
dk;global;True;1;16;58;322;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9827586206896551;58;58;57;58;58;0;58;0
dk;incremental;True;1;65;45;281;1.0;1.0;1.0;1.0;1.0;45;45;45;45;45;0;45;0
dk;global;True;1;17;73;322;1.0;1.0;1.0;1.0;1.0;73;73;73;73;73;0;73;0
dk;incremental;True;1;66;67;281;1.0;1.0;1.0;1.0;1.0;67;67;67;67;67;0;67;0
dk;global;True;1;18;77;322;1.0;1.0;1.0;1.0;1.0;77;77;77;77;77;0;77;0
dk;incremental;True;1;67;55;281;0.9818181818181818;0.9818181818181818;0.9818181818181818;0.9818181818181818;0.9818181818181818;55;55;54;55;55;0;55;0
dk;global;True;1;19;64;322;1.0;1.0;1.0;1.0;1.0;64;64;64;64;64;0;64;0
dk;incremental;True;1;68;59;281;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
dk;global;True;1;20;56;322;1.0;1.0;1.0;1.0;1.0;56;56;56;56;56;0;56;0
dk;incremental;True;1;69;59;281;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
dk;global;True;1;21;72;322;0.9861111111111112;1.0;1.0;0.993006993006993;0.993006993006993;71;71;71;72;72;1;71;0
dk;incremental;True;1;70;66;281;1.0;1.0;1.0;1.0;1.0;66;66;66;66;66;0;66;0
dk;global;True;1;22;52;322;1.0;1.0;1.0;1.0;1.0;52;52;52;52;52;0;52;0
dk;incremental;True;1;71;57;281;1.0;1.0;1.0;1.0;1.0;57;57;57;57;57;0;57;0
dk;global;True;1;23;72;322;0.9722222222222222;0.9722222222222222;0.9722222222222222;0.9722222222222222;0.9722222222222222;72;72;70;72;72;0;72;0
dk;incremental;True;1;72;58;281;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9827586206896551;58;58;57;58;58;0;58;0
dk;global;True;1;24;60;322;0.9666666666666667;0.9666666666666667;0.9666666666666667;0.9666666666666667;0.9666666666666667;60;60;58;60;60;0;60;0
dk;incremental;True;1;73;71;281;0.9859154929577465;0.9859154929577465;0.9859154929577465;0.9859154929577465;0.9859154929577465;71;71;70;71;71;0;71;0
dk;global;True;1;25;67;322;1.0;1.0;1.0;1.0;1.0;67;67;67;67;67;0;67;0
dk;incremental;True;1;74;71;281;0.971830985915493;0.971830985915493;0.971830985915493;0.971830985915493;0.971830985915493;71;71;69;71;71;0;71;0
dk;global;True;1;26;68;322;1.0;1.0;1.0;1.0;1.0;68;68;68;68;68;0;68;0
dk;incremental;True;1;75;52;281;1.0;1.0;1.0;1.0;1.0;52;52;52;52;52;0;52;0
dk;global;True;1;27;76;322;1.0;1.0;1.0;1.0;1.0;76;76;76;76;76;0;76;0
dk;incremental;True;1;76;71;281;1.0;1.0;1.0;1.0;1.0;71;71;71;71;71;0;71;0
dk;global;True;1;28;69;322;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;69;69;68;69;69;0;69;0
dk;incremental;True;1;77;78;281;1.0;1.0;1.0;1.0;1.0;78;78;78;78;78;0;78;0
dk;global;True;1;29;70;322;1.0;1.0;1.0;1.0;1.0;70;70;70;70;70;0;70;0
dk;incremental;True;1;78;48;281;0.9791666666666666;0.9791666666666666;0.9791666666666666;0.9791666666666666;0.9791666666666666;48;48;47;48;48;0;48;0
dk;global;True;1;30;68;322;1.0;1.0;1.0;1.0;1.0;68;68;68;68;68;0;68;0
dk;incremental;True;1;79;69;281;0.9710144927536232;0.9710144927536232;0.9710144927536232;0.9710144927536232;0.9710144927536232;69;69;67;69;69;0;69;0
dk;incremental;True;1;80;58;281;1.0;1.0;1.0;1.0;1.0;58;58;58;58;58;0;58;0
dk;global;True;1;31;62;322;0.9838709677419355;0.9838709677419355;0.9838709677419355;0.9838709677419355;0.9838709677419355;62;62;61;62;62;0;62;0
dk;incremental;True;1;81;59;281;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;59;59;58;59;59;0;59;0
dk;global;True;1;32;59;322;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
dk;incremental;True;1;82;64;281;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;global;True;1;33;64;322;1.0;1.0;1.0;1.0;1.0;64;64;64;64;64;0;64;0
dk;incremental;True;1;83;63;281;1.0;1.0;1.0;1.0;1.0;63;63;63;63;63;0;63;0
dk;global;True;1;34;62;322;0.967741935483871;0.967741935483871;0.967741935483871;0.967741935483871;0.967741935483871;62;62;60;62;62;0;62;0
dk;incremental;True;1;84;62;281;1.0;1.0;1.0;1.0;1.0;62;62;62;62;62;0;62;0
dk;global;True;1;35;55;322;1.0;1.0;1.0;1.0;1.0;55;55;55;55;55;0;55;0
dk;incremental;True;1;85;63;281;1.0;1.0;1.0;1.0;1.0;63;63;63;63;63;0;63;0
dk;global;True;1;36;66;322;1.0;1.0;1.0;1.0;1.0;66;66;66;66;66;0;66;0
dk;incremental;True;1;86;70;281;0.9857142857142858;0.9857142857142858;0.9857142857142858;0.9857142857142858;0.9857142857142858;70;70;69;70;70;0;70;0
dk;global;True;1;37;73;322;1.0;1.0;1.0;1.0;1.0;73;73;73;73;73;0;73;0
dk;incremental;True;1;87;64;281;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;global;True;1;38;84;322;1.0;1.0;1.0;1.0;1.0;84;84;84;84;84;0;84;0
dk;incremental;True;1;88;67;281;1.0;1.0;1.0;1.0;1.0;67;67;67;67;67;0;67;0
dk;global;True;1;39;75;322;0.9866666666666667;0.9866666666666667;0.9866666666666667;0.9866666666666668;0.9866666666666668;75;75;74;75;75;0;75;0
dk;incremental;True;1;89;63;281;0.9841269841269841;0.9841269841269841;0.9841269841269841;0.9841269841269841;0.9841269841269841;63;63;62;63;63;0;63;0
dk;global;True;1;40;61;322;1.0;1.0;1.0;1.0;1.0;61;61;61;61;61;0;61;0
dk;incremental;True;1;90;56;281;1.0;1.0;1.0;1.0;1.0;56;56;56;56;56;0;56;0
dk;global;True;1;41;69;322;1.0;1.0;1.0;1.0;1.0;69;69;69;69;69;0;69;0
dk;incremental;True;1;91;64;281;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;global;True;1;42;71;322;0.9577464788732394;0.9577464788732394;0.9577464788732394;0.9577464788732394;0.9577464788732394;71;71;68;71;71;0;71;0
dk;incremental;True;1;92;54;281;0.9814814814814815;0.9814814814814815;0.9814814814814815;0.9814814814814815;0.9814814814814815;54;54;53;54;54;0;54;0
dk;global;True;1;43;61;322;1.0;1.0;1.0;1.0;1.0;61;61;61;61;61;0;61;0
dk;incremental;True;1;93;69;281;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;69;69;68;69;69;0;69;0
dk;global;True;1;44;65;322;0.9846153846153847;0.9846153846153847;0.9846153846153847;0.9846153846153847;0.9846153846153847;65;65;64;65;65;0;65;0
dk;incremental;True;1;94;59;281;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
dk;global;True;1;45;57;322;0.9824561403508771;0.9824561403508771;0.9824561403508771;0.9824561403508771;0.9824561403508771;57;57;56;57;57;0;57;0
dk;incremental;True;1;95;76;281;0.9868421052631579;0.9868421052631579;0.9868421052631579;0.9868421052631579;0.9868421052631579;76;76;75;76;76;0;76;0
dk;global;True;1;46;75;322;0.9866666666666667;0.9866666666666667;0.9866666666666667;0.9866666666666668;0.9866666666666668;75;75;74;75;75;0;75;0
dk;incremental;True;1;96;59;281;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
dk;global;True;1;47;77;322;0.961038961038961;0.961038961038961;0.961038961038961;0.961038961038961;0.961038961038961;77;77;74;77;77;0;77;0
dk;incremental;True;1;97;62;281;1.0;1.0;1.0;1.0;1.0;62;62;62;62;62;0;62;0
dk;global;True;1;48;60;322;0.9833333333333333;0.9833333333333333;0.9833333333333333;0.9833333333333333;0.9833333333333333;60;60;59;60;60;0;60;0
dk;incremental;True;1;98;66;281;1.0;1.0;1.0;1.0;1.0;66;66;66;66;66;0;66;0
dk;global;True;1;49;61;322;0.9508196721311475;0.9508196721311475;0.9508196721311475;0.9508196721311475;0.9508196721311475;61;61;58;61;61;0;61;0
dk;incremental;True;1;99;64;281;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;global;True;1;50;64;322;1.0;1.0;1.0;1.0;1.0;64;64;64;64;64;0;64;0
dk;incremental;True;1;100;59;281;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;59;59;58;59;59;0;59;0
dk;global;True;1;51;62;322;1.0;1.0;1.0;1.0;1.0;62;62;62;62;62;0;62;0
dk;global;True;1;52;71;322;1.0;1.0;1.0;1.0;1.0;71;71;71;71;71;0;71;0
dk;global;True;1;53;64;322;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;global;True;1;54;68;322;0.9852941176470589;0.9852941176470589;0.9852941176470589;0.9852941176470589;0.9852941176470589;68;68;67;68;68;0;68;0
dk;global;True;1;55;79;322;1.0;1.0;1.0;1.0;1.0;79;79;79;79;79;0;79;0
dk;global;True;1;56;62;322;1.0;1.0;1.0;1.0;1.0;62;62;62;62;62;0;62;0
dk;global;True;1;57;72;322;1.0;1.0;1.0;1.0;1.0;72;72;72;72;72;0;72;0
dk;global;True;1;58;52;322;1.0;1.0;1.0;1.0;1.0;52;52;52;52;52;0;52;0
dk;global;True;1;59;57;322;1.0;1.0;1.0;1.0;1.0;57;57;57;57;57;0;57;0
dk;global;True;1;60;68;322;0.9852941176470589;0.9852941176470589;0.9852941176470589;0.9852941176470589;0.9852941176470589;68;68;67;68;68;0;68;0
dk;global;True;1;61;74;322;0.9864864864864865;0.9864864864864865;0.9864864864864865;0.9864864864864865;0.9864864864864865;74;74;73;74;74;0;74;0
dk;global;True;1;62;49;322;1.0;1.0;1.0;1.0;1.0;49;49;49;49;49;0;49;0
dk;global;True;1;63;69;322;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;69;69;68;69;69;0;69;0
dk;global;True;1;64;59;322;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;59;59;58;59;59;0;59;0
dk;global;True;1;65;45;322;1.0;1.0;1.0;1.0;1.0;45;45;45;45;45;0;45;0
dk;global;True;1;66;67;322;1.0;1.0;1.0;1.0;1.0;67;67;67;67;67;0;67;0
dk;global;True;1;67;55;322;0.9818181818181818;0.9818181818181818;0.9818181818181818;0.9818181818181818;0.9818181818181818;55;55;54;55;55;0;55;0
dk;global;True;1;68;59;322;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
dk;global;True;1;69;59;322;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
dk;global;True;1;70;66;322;1.0;1.0;1.0;1.0;1.0;66;66;66;66;66;0;66;0
dk;global;True;1;71;57;322;1.0;1.0;1.0;1.0;1.0;57;57;57;57;57;0;57;0
dk;global;True;1;72;58;322;1.0;1.0;1.0;1.0;1.0;58;58;58;58;58;0;58;0
dk;global;True;1;73;71;322;0.9859154929577465;0.9859154929577465;0.9859154929577465;0.9859154929577465;0.9859154929577465;71;71;70;71;71;0;71;0
dk;global;True;1;74;71;322;0.9859154929577465;0.9859154929577465;0.9859154929577465;0.9859154929577465;0.9859154929577465;71;71;70;71;71;0;71;0
dk;global;True;1;75;52;322;1.0;1.0;1.0;1.0;1.0;52;52;52;52;52;0;52;0
dk;global;True;1;76;71;322;1.0;1.0;1.0;1.0;1.0;71;71;71;71;71;0;71;0
dk;global;True;1;77;78;322;1.0;1.0;1.0;1.0;1.0;78;78;78;78;78;0;78;0
dk;global;True;1;78;48;322;1.0;1.0;1.0;1.0;1.0;48;48;48;48;48;0;48;0
dk;global;True;1;79;69;322;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;69;69;68;69;69;0;69;0
dk;global;True;1;80;58;322;1.0;1.0;1.0;1.0;1.0;58;58;58;58;58;0;58;0
dk;global;True;1;81;59;322;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
dk;global;True;1;82;64;322;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;global;True;1;83;63;322;1.0;1.0;1.0;1.0;1.0;63;63;63;63;63;0;63;0
dk;global;True;1;84;62;322;1.0;1.0;1.0;1.0;1.0;62;62;62;62;62;0;62;0
dk;global;True;1;85;63;322;1.0;1.0;1.0;1.0;1.0;63;63;63;63;63;0;63;0
dk;global;True;1;86;70;322;0.9857142857142858;0.9857142857142858;0.9857142857142858;0.9857142857142858;0.9857142857142858;70;70;69;70;70;0;70;0
dk;global;True;1;87;64;322;1.0;1.0;1.0;1.0;1.0;64;64;64;64;64;0;64;0
dk;global;True;1;88;67;322;1.0;1.0;1.0;1.0;1.0;67;67;67;67;67;0;67;0
dk;global;True;1;89;63;322;0.9841269841269841;0.9841269841269841;0.9841269841269841;0.9841269841269841;0.9841269841269841;63;63;62;63;63;0;63;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
all;incremental;True;1;1;324;281;0.9487179487179487;1.0;1.0;0.9736842105263158;0.9736842105263158;74;74;74;78;78;4;74;0
dk;global;True;1;90;56;322;1.0;1.0;1.0;1.0;1.0;56;56;56;56;56;0;56;0
dk;global;True;1;91;64;322;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;global;True;1;92;54;322;0.9814814814814815;0.9814814814814815;0.9814814814814815;0.9814814814814815;0.9814814814814815;54;54;53;54;54;0;54;0
dk;global;True;1;93;69;322;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;69;69;68;69;69;0;69;0
dk;global;True;1;94;59;322;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
dk;global;True;1;95;76;322;0.9868421052631579;0.9868421052631579;0.9868421052631579;0.9868421052631579;0.9868421052631579;76;76;75;76;76;0;76;0
dk;global;True;1;96;59;322;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
dk;global;True;1;97;62;322;1.0;1.0;1.0;1.0;1.0;62;62;62;62;62;0;62;0
dk;global;True;1;98;66;322;1.0;1.0;1.0;1.0;1.0;66;66;66;66;66;0;66;0
dk;global;True;1;99;64;322;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;global;True;1;100;59;322;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
all;incremental;True;1;2;324;281;0.9833333333333333;1.0;1.0;0.9915966386554621;0.9915966386554621;59;59;59;60;60;1;59;0
all;incremental;True;1;3;324;281;0.9538461538461539;0.9841269841269841;0.9841269841269841;0.96875;0.96875;63;63;62;65;65;2;63;0
all;incremental;True;1;4;324;281;0.9305555555555556;0.9710144927536232;0.9710144927536232;0.9503546099290779;0.9503546099290779;69;69;67;72;72;3;69;0
all;incremental;True;1;5;324;281;0.9508196721311475;0.9666666666666667;0.9666666666666667;0.9586776859504132;0.9586776859504132;60;60;58;61;61;1;60;0
all;incremental;True;1;6;324;281;0.9411764705882353;0.9846153846153847;0.9846153846153847;0.962406015037594;0.962406015037594;65;65;64;68;68;3;65;0
all;incremental;True;1;7;324;281;0.9102564102564102;0.9726027397260274;0.9726027397260274;0.9403973509933774;0.9403973509933774;73;73;71;78;78;5;73;0
all;incremental;True;1;8;324;281;0.9666666666666667;0.9830508474576272;0.9830508474576272;0.9747899159663865;0.9747899159663865;59;59;58;60;60;1;59;0
all;incremental;True;1;9;324;281;0.9154929577464789;0.9701492537313433;0.9701492537313433;0.9420289855072463;0.9420289855072463;67;67;65;71;71;4;67;0
all;incremental;True;1;10;324;281;0.9846153846153847;0.9846153846153847;0.9846153846153847;0.9846153846153847;0.9846153846153847;65;65;64;65;65;0;65;0
all;incremental;True;1;11;324;281;0.9743589743589743;0.9743589743589743;0.9743589743589743;0.9743589743589743;0.9743589743589743;78;78;76;78;78;0;78;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
